PLAYER,YEAR,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT,HEIGHT_SHOES,STAND_REACH,WEIGHT,WINGSPAN
DeAndre Liggins,2011,SF-SG,5.00%,8.75,10,132,147,186,202.2,204
Dedric Lawson,2016,PF,11.05%,9.5,9.5,156,168,222,224.8,114
Delon Wright,2015,PG,6.60%,8,8.5,123,138,162,181.4,162
DeMarcus Cousins,2010,C,16.40%,9.25,10,186,201,168,291.8,153
Demetri McCamey,2011,PG,6.10%,8.5,9,93,111,138,204,147
Demetrius Jackson,2016,PG,6.50%,8.25,9,72,87,192,193.8,138
Dennis Schroder,2013,PG,4.10%,8.75,10.5,84,96,120,164.8,165
Denzel Valentine,2016,SG-SF,9.20%,8.5,9.75,120,141,168,210.4,201
Deonte Burton,2014,PG,7.65%,8.25,8,72,87,114,192.8,156
Derrick Caracter,2010,PF,12.80%,9,10.25,171,186,234,280,87
Derrick Favors,2010,PF,6.50%,8.75,9.25,177,195,132,245.2,132
Derrick Walton Jr.,2017,PG,5.80%,8,8.5,192,81,216,188.6,102
Derrick White,2017,PG,6.20%,8.25,8.5,111,126,162,189.8,162
Derrick Williams,2011,PF-SF,10.80%,9,9.75,159,177,108,248.4,102
Deshaun Thomas,2013,SF,9.10%,8,8.75,132,156,192,219.8,192
Devin Booker,2015,SG,8.30%,8.75,9,126,141,174,205.8,171
Devin Ebanks,2010,SF,7.90%,8.25,9,156,171,234,207.8,87
Devin Robinson,2017,SF,3.20%,9.25,10.25,156,171,216,189.6,93
Devyn Marble,2014,SG,6.90%,8.25,8.5,132,150,168,192.4,180
Dewayne Dedmon,2013,C,8.35%,9,11,192,210,120,238.8,132
Dexter Pittman,2010,PF-C,20.80%,10.25,10.5,186,210,144,302.6,156
Deyonta Davis,2016,PF,9.70%,9,9.25,183,198,114,237.2,114
Dez Wells,2015,SG,8.10%,8.75,9.75,108,120,150,208.8,186
Diamond Stone,2016,C,12.85%,8.5,7.75,180,195,114,254.4,117
Dillon Brooks,2017,SG-SF,7.50%,8.25,9.25,132,144,150,220.2,144
Dion Waiters,2012,SG,8.50%,8.5,9.5,102,120,120,221,159
Dominique Jones,2010,SG,5.90%,9,10.25,111,132,156,216,183
Donovan Mitchell,2017,SG,5.90%,8.5,9.5,87,108,108,211.4,192
Dorian Finney-Smith,2016,SF,6.45%,9,9.75,150,165,210,212.6,213
Doron Lamb,2012,SG-PG,6.70%,8.5,8.75,111,129,126,199.4,153
Doug McDermott,2014,SF,7.10%,8.75,9.75,147,165,180,218,183
Draymond Green,2012,PF-SF,11.30%,9,9.5,141,162,204,235.6,99
Drew Gordon,2012,PF,9.10%,8.5,9.75,168,177,186,239,210
Dwayne Bacon,2017,SG-SF,7.90%,8.75,10,129,147,186,221.6,192
Dwight Powell,2014,PF,6.20%,9,9.25,186,204,204,234.4,90
E'Twaun Moore,2011,SG,7.60%,9,10,102,120,138,191.4,186
Ed Davis,2010,PF,10.00%,9.25,10,180,189,108,226.6,84
Edmond Sumner,2017,PG,8.30%,8.25,9,120,141,174,176.4,180
Edrice Adebayo,2017,PF-C,5.20%,9.5,8.75,177,189,108,242.6,117
Ekpe Udoh,2010,PF,8.00%,9.5,8.75,177,189,222,237.4,138
Elfrid Payton,2014,PG,5.65%,8.75,9,102,117,126,185.4,168
Elgin Cook,2016,SF,6.35%,8.5,10.25,132,147,150,209.8,192
