Player,Games Played,MIN,FGM,FGA,FG_PCT,3PM,3PA,3Per,FTM,FTA,FTPer,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Age,Season
Ed Davis,81,20.8,2.5,4.2,0.611,0,0,,1.4,2.5,0.559,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,26,2015
Branden Dawson,6,4.8,0.3,0.8,0.4,0,0,,0.2,0.2,1,0.3,0.3,0.7,0,0,0.2,0,0.3,22,2015
Dewayne Dedmon,58,12.2,1.7,3.1,0.559,0,0,,1,1.3,0.75,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,26,2015
Bryce Dejean-Jones,14,19.9,2,4.9,0.406,0.9,2.3,0.375,0.8,1.5,0.524,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,23,2015
Sam Dekker,3,2,0,0,,0,0,,0,0,,0,0.3,0.3,0,0.3,0,0,0,21,2015
Matthew Dellavedova,76,24.6,2.7,6.7,0.405,1.3,3.1,0.41,0.8,0.9,0.864,0.4,1.7,2.1,4.4,0.6,0.1,1.5,2.3,25,2015
Luol Deng,74,32.4,4.6,10.1,0.455,1.2,3.5,0.344,2,2.6,0.755,1.5,4.5,6,1.9,1,0.4,1.1,1.6,30,2015
DeMar DeRozan,78,35.9,7.9,17.7,0.446,0.6,1.8,0.338,7.1,8.4,0.85,0.8,3.7,4.5,4,1,0.3,2.2,2.1,26,2015
Boris Diaw,76,18.2,2.7,5,0.527,0.3,0.9,0.362,0.7,1,0.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,33,2015
Gorgui Dieng,82,27.1,3.8,7.1,0.532,0.1,0.2,0.3,2.5,3,0.827,1.9,5.2,7.1,1.7,1.1,1.2,1.7,2.7,26,2015
Spencer Dinwiddie,12,13.3,1.6,4.5,0.352,0.1,0.8,0.1,1.6,2.8,0.576,0.3,1.1,1.4,1.8,0.3,0,0.6,1.7,22,2015
Toney Douglas,61,20.7,3,7.3,0.411,1.3,3.3,0.399,1.4,1.6,0.848,0.4,1.9,2.3,2.6,1.1,0.1,1,2.1,29,2015
Goran Dragic,72,32.8,5.8,12.2,0.477,0.9,2.8,0.312,1.7,2.3,0.727,0.8,3.1,3.8,5.8,1,0.2,2.6,2.6,29,2015
Andre Drummond,81,32.9,6.8,13.1,0.521,0,0.1,0.333,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3,22,2015
Jared Dudley,81,25.9,2.9,6,0.478,1.2,2.9,0.42,0.9,1.2,0.735,0.7,2.9,3.5,2.1,0.9,0.2,1,2.3,30,2015
Duje Dukan,1,24,2,10,0.2,2,5,0.4,0,0,,2,2,4,1,1,0,0,2,24,2015
Tim Duncan,61,25.2,3.5,7.2,0.488,0,0,0,1.5,2.1,0.702,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2,39,2015
Mike Dunleavy,31,22.7,2.5,6.1,0.41,1.3,3.2,0.394,0.9,1.2,0.784,0.3,2.4,2.7,1.3,0.5,0.3,0.8,2.1,35,2015
Kevin Durant,72,35.8,9.7,19.2,0.505,2.6,6.7,0.387,6.2,6.9,0.898,0.6,7.6,8.2,5,1,1.2,3.5,1.9,27,2015
Cleanthony Early,17,9.1,0.7,2.4,0.3,0.2,0.9,0.267,0.2,0.2,0.75,0.2,1.3,1.5,0.4,0.1,0.2,0.5,0.9,24,2015
Jarell Eddie,26,5.7,0.8,2.5,0.308,0.6,1.8,0.319,0.3,0.3,1,0.1,0.8,0.9,0.2,0.2,0,0,0.2,24,2015
Wayne Ellington,76,21.3,2.9,7.4,0.389,1.3,3.5,0.358,0.7,0.8,0.857,0.3,2,2.3,1.1,0.6,0.1,0.6,1.1,28,2015
Monta Ellis,81,33.8,5.4,12.6,0.427,1.1,3.5,0.309,2,2.5,0.786,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,30,2015
James Ennis,22,15,2.5,5.1,0.478,1.2,2.6,0.448,1.1,1.5,0.735,1,1,1.9,1,0.7,0.2,0.9,1.3,25,2015
James Ennis,3,2.3,0,0,,0,0,,0,0,,0,0,0,0.3,0,0,0,0.3,25,2015
James Ennis,10,4,0.4,1.3,0.308,0.2,0.8,0.25,0.6,1,0.6,0.4,0.3,0.7,0.2,0.4,0.2,0.2,0.1,25,2015
James Ennis,9,31.3,5.6,11.1,0.5,2.7,5.6,0.48,2.1,2.7,0.792,1.9,2,3.9,2,1.3,0.3,1.9,2.9,25,2015
Tyler Ennis,46,14.2,1.8,4.1,0.449,0.3,0.8,0.333,0.5,0.7,0.735,0.3,1.3,1.6,2.1,0.5,0,1,1.4,21,2015
Jeremy Evans,30,8.4,0.9,1.6,0.542,0.1,0.5,0.25,0.5,0.7,0.714,0.4,1.4,1.8,0.1,0.2,0.3,0.2,0.6,28,2015
Tyreke Evans,25,30.6,5.4,12.6,0.433,1.3,3.4,0.388,3,3.7,0.796,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,26,2015
Festus Ezeli,46,16.7,2.7,5,0.548,0,0,,1.5,2.9,0.53,2,3.6,5.6,0.7,0.4,1.1,0.8,2,26,2015
Kenneth Faried,67,25.3,5.2,9.3,0.558,0,0,0.5,2,3.3,0.613,3.5,5.2,8.7,1.2,0.5,0.9,1.4,2.5,26,2015
Jordan Farmar,12,24.3,3.5,8.3,0.42,1.3,3.8,0.356,0.8,0.8,1,0.3,1.8,2.1,3.1,1.3,0.2,1.5,1.8,29,2015
Derrick Favors,62,32,6.7,13.1,0.515,0,0.1,0,2.9,4.1,0.709,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,24,2015
Cristiano Felicio,31,10.4,1.3,2.3,0.556,0,0.1,0,0.8,1.1,0.714,1,2.3,3.3,0.8,0.2,0.4,0.4,1,23,2015
Raymond Felton,80,27.4,3.5,8.5,0.406,0.8,2.7,0.282,1.9,2.2,0.847,0.5,2.8,3.2,3.6,0.9,0.2,1.5,1.8,31,2015
Evan Fournier,79,32.5,5.4,11.8,0.462,2,4.9,0.4,2.5,3,0.836,0.4,2.4,2.8,2.7,1.2,0,1.7,2.7,23,2015
Randy Foye,81,20.3,2.1,6,0.351,0.9,3.1,0.3,0.8,0.9,0.824,0.3,1.6,1.9,2,0.5,0.4,1.1,1.6,32,2015
Randy Foye,54,19.8,2.2,6.2,0.351,0.9,3.1,0.296,0.7,0.9,0.83,0.3,1.6,1.9,2.1,0.5,0.3,1.1,1.5,32,2015
Randy Foye,27,21.2,1.9,5.5,0.349,0.9,3,0.309,0.8,1,0.815,0.3,1.6,1.9,1.8,0.5,0.5,1,1.8,32,2015
Tim Frazier,51,14.5,1.9,4.5,0.419,0.3,0.9,0.333,1,1.5,0.716,0.5,1.6,2.2,3.2,0.6,0,1.3,1.4,25,2015
Tim Frazier,35,7.8,0.6,1.7,0.333,0.1,0.5,0.176,0.2,0.4,0.533,0.3,0.8,1.1,1.2,0.3,0,0.8,0.9,25,2015
Tim Frazier,16,29.3,4.8,10.6,0.45,0.8,1.9,0.419,2.8,3.7,0.763,0.9,3.5,4.4,7.5,1.4,0.1,2.4,2.6,25,2015
Jimmer Fredette,6,3,0.3,0.8,0.4,0.2,0.3,0.5,0.7,0.8,0.8,0,0,0,0.2,0.2,0,0.3,0.3,26,2015
Jimmer Fredette,4,3.3,0.3,1,0.25,0,0.3,0,0,0,,0,0,0,0.3,0.3,0,0.3,0.3,26,2015
Jimmer Fredette,2,2.5,0.5,0.5,1,0.5,0.5,1,2,2.5,0.8,0,0,0,0,0,0,0.5,0.5,26,2015
Channing Frye,70,17.1,2.2,5,0.438,1.3,3.4,0.387,0.4,0.5,0.857,0.5,2.8,3.3,1,0.4,0.4,0.6,1.8,32,2015
